Yayasan,NPSN,Nama,Jenjang,Kecamatan,Kabupaten,Provinsi
12,20106766,SMP Damai,SMP,Kec. Tambora,Kota Adm. Jakarta Barat,Prov. D.K.I. Jakarta
12,20101342,SMAS Damai,SMA,Kec. Tambora,Kota Adm. Jakarta Barat,Prov. D.K.I. Jakarta
12,69909377,TK Vianney,TK,Kec. Cengkareng,Kota Adm. Jakarta Barat,Prov. D.K.I. Jakarta
12,20105797,SD Vianney,SD,Kec. Cengkareng,Kota Adm. Jakarta Barat,Prov. D.K.I. Jakarta
12,20106900,SMP Vianney,SMP,Kec. Cengkareng,Kota Adm. Jakarta Barat,Prov. D.K.I. Jakarta
12,20101618,SMAS Vianney,SMA,Kec. Cengkareng,Kota Adm. Jakarta Barat,Prov. D.K.I. Jakarta
12,20615320,TK Tarsisius Vireta,TK,Kec. Pasar Kemis,Kab. Tangerang,Prov. Banten
12,20613602,SDtarsisius Vireta,SD,Kec. Pasar Kemis,Kab. Tangerang,Prov. Banten
12,20603243,SMP Tarsisius Vireta,SMP,Kec. Pasar Kemis,Kab. Tangerang,Prov. Banten
12,20603379,SMAS Tarsisius Vireta,SMA,Kec. Pasar Kemis,Kab. Tangerang,Prov. Banten
12,70045704,SMK Tarsisius Vireta,SMK,Kec. Pasar Kemis,Kab. Tangerang,Prov. Banten
14,  20111041,TK Kristoforus,TK,Kec. Grogol Petamburan,Kota Adm. Jakarta Barat,Prov. D.K.I. Jakarta
14,  20105768,SDS Santo Kristoforus I,SD,Kec. Grogol Petamburan,Kota Adm. Jakarta Barat,Prov. D.K.I. Jakarta
14,  20106874,SMP Santo Kristoforus I,SMP,Kec. Grogol Petamburan,Kota Adm. Jakarta Barat,Prov. D.K.I. Jakarta
14,  20101616,SMAS Santo Kristoforus 1,SMA,Kec. Grogol Petamburan,Kota Adm. Jakarta Barat,Prov. D.K.I. Jakarta
